SIGNAL2,B,C
472.8,0.01206,5480
473,0.01203,5596
473.2,0.01205,5432
473.4,0.01205,5362
473.6,0.01206,5492
473.8,0.01205,5504
474,0.01203,5542
474.2,0.01203,5454
474.4,0.01203,5260
474.6,0.01206,5646
474.8,0.01206,5664
475,0.01204,5574
475.2,0.01204,5454
475.4,0.01204,5280
475.6,0.01202,5336
475.8,0.012,5328
476,0.01199,5546
476.2,0.01201,5274
476.4,0.01203,5370
476.6,0.01203,5450
476.8,0.01201,5252
477,0.01201,5254
477.2,0.01202,5414
477.4,0.01203,5328
477.6,0.01203,5178
477.8,0.01205,5340
478,0.01202,5144
478.2,0.01202,5234
478.4,0.012,5248
478.6,0.01203,5360
478.8,0.01204,5280
479,0.01205,5242
479.2,0.01204,5250
479.4,0.01204,5268
479.6,0.01204,5064
479.8,0.01204,5232
480,0.01203,5006
480.2,0.01205,5030
480.4,0.01203,5242
480.6,0.01202,5202
480.8,0.01201,5104
481,0.01202,5192
481.2,0.01202,5092
481.4,0.01201,5158
481.6,0.01202,5018
481.8,0.01202,4988
482,0.01204,4998
482.2,0.01203,5138
482.4,0.01203,4928
482.6,0.01205,4920
482.8,0.01205,4952
483,0.01203,5006
483.2,0.01204,5098
483.4,0.01204,5084
483.6,0.01204,4960
483.8,0.01204,5110
484,0.01203,4894
484.2,0.01204,4848
484.4,0.01202,5098
484.6,0.01204,4722
484.8,0.01201,4828
485,0.01205,4892
485.2,0.01202,4964
485.4,0.01203,4866
485.6,0.01202,4874
485.8,0.01202,4758
486,0.01203,4944
486.2,0.01202,4684
486.4,0.01203,4706
486.6,0.01203,4790
486.8,0.01203,4806
487,0.01203,4698
487.2,0.01203,4694
487.4,0.01204,4714
487.6,0.01202,4756
487.8,0.01203,4568
488,0.01204,4608
488.2,0.01204,4610
488.4,0.01202,4654
488.6,0.01204,4752
488.8,0.01202,4704
489,0.01202,4588
489.2,0.01203,4666
489.4,0.01204,4508
489.6,0.01202,4636
489.8,0.01204,4550
490,0.01207,4446
490.2,0.01204,4576
490.4,0.01204,4410
490.6,0.01203,4562
490.8,0.01201,4516
491,0.01203,4506
491.2,0.01204,4520
491.4,0.01203,4402
491.6,0.01203,4436
491.8,0.01203,4446
492,0.01205,4362
492.2,0.01203,4350
492.4,0.01205,4478
492.6,0.01203,4252
492.8,0.01202,4524
493,0.01206,4300
493.2,0.01206,4400
493.4,0.01203,4312
493.6,0.01202,4346
493.8,0.01204,4248
494,0.01205,4324
494.2,0.01205,4118
494.4,0.01203,4322
494.6,0.01202,4218
494.8,0.01203,4064
495,0.01205,4242
495.2,0.01204,4154
495.4,0.01203,4078
495.6,0.01201,4148
495.8,0.01201,4228
496,0.01201,4076
496.2,0.01202,4270
496.4,0.012,4228
496.6,0.01204,4206
496.8,0.01204,3944
497,0.01206,4396
497.2,0.01202,3974
497.4,0.01202,4090
497.6,0.01201,4132
497.8,0.01203,4124
498,0.01203,4100
498.2,0.01204,4268
498.4,0.01203,4150
498.6,0.01204,3876
498.8,0.01203,4108
499,0.01202,3914
499.2,0.01202,4082
499.4,0.01203,3828
499.6,0.01205,4150
499.8,0.01205,3902
500,0.01202,3958
500.2,0.01202,4024
500.4,0.01202,3788
500.6,0.01201,3764
500.8,0.01201,4010
501,0.01204,3820
501.2,0.012,3880
501.4,0.01202,3916
501.6,0.01204,3826
501.8,0.01203,3770
502,0.01203,3968
502.2,0.01204,3908
502.4,0.01204,3756
502.6,0.01205,3726
502.8,0.01204,3712
503,0.01203,3798
503.2,0.01204,3752
503.4,0.01205,3790
503.6,0.01206,3668
503.8,0.01205,3652
504,0.01205,3666
